PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-30,Texta Toolkit - Identifying documents published without authorisation,https://www.keeletehnoloogia.ee/en,"The Ministry of Education and Research performed a document management audit using the Texta Toolkit, which was aimed at identifying the documents that had been published without authorisation (e.g. internal documents, personal data, etc.). During the audit, more than 1,200,000 documents were analysed, converted into machine-readable form and had the personal data removed. In collaboration with the Centre of Registers and Information Systems, the Ministry of Justice removed, using Texta, personal data from nearly 80,000 court decisions involving information about punishments deleted from the Criminal Records Database and republished the decisions in the Court Information System. Texta Toolkit grew out of industrial research in the Software Technology and Applications Competence Center (STACC) and its development has been supported from the Estonian Language Technology programme.",National,Estonia,EE,Ministry of Education and Research,Central-Government,General public services,General services.,Implemented,2020,,Enforcement,Predictive enforcement processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.texta.ee/home,Communication,Natural language processing,Machine learning,Automated reasoning,,text analysis,06/10/2023
PSTW-31,Datel - Speed cameras for detecting speeding violations,https://www.datel.eu/en/solutions/e-government-solutions/item/417,"Probably one of the most “visible” types of AI applications in Estonia are the speed cameras developed by an Estonian company Datel, which identify the license plate number on the photos of speeding cars using a machine learning algorithm. Based on the license plate number identified, the system finds the data required to conduct procedural acts, assesses the causality of speeding and imposes a penalty if necessary. Then the Police and Border Guard Board official conducting the proceedings verifies the data and signs the operation.",National,Estonia,EE,Police and Border Guard,Central-Government,Public order and safety,Police Services,Implemented,2019,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,x,,,x,x,,,,,Survey 1st Peer Learning Workshop AI Watch,Perception,Computer vision,Machine learning,,,,06/10/2023
PSTW-32,Traffic load - Machine vision for collecting information on traffic load,https://automatingsociety.algorithmwatch.org/report2020/estonia/,"The Tallinn transport Dep. started developing a machine vision application in autumn 2018 in collaboration with Sifr OU. The main objective of this application is to identify the traffic load within Tallinn, i.e. how many cars drive in and out of the city in a day in order to make city transport planning related decisions based on such data (e.g. parking issues, road construction, etc.). Three cameras were selected on intersections in Tallinn to train the application to count the vehicles passing by the cameras. The training of the application was a crucial process in developing the solution since there was no ready-made solution available that suited the circumstances of Tallinn. The result is an application that uses machine vision to count buses, cars, lorries and motorcycles and in the future hopefully also pedestrians, cyclists and like with a 70% accuracy on the traffic load in a certain area when previously there no such information available at all. ",Local,Estonia,EE,Public Transport and Traffic Management Transport Board in Tallinn,Local Government,Economic affairs,Transport,Implemented,2018,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.kratid.ee/tlt-kasutuslugu,Perception,Computer vision,Machine learning,,,,06/10/2023
PSTW-34,SUVE - Chatbot for questions about emergency situations, https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis,"The websites of several Estonian government agencies use Suve, an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies. The development of the Chatbot is the result of a hackathon which was organized in the early weeks of the COVID-19 outbreaks in Europe. Together with the Estonian start-up community, Suve was developed in rapid fashion. By using official information from government agencies, the role of Chatbot is to provide trustworthy information regarding the coronavirus and emergency situation in Estonia and to tackle misinformation. ",National,Estonia,EE,Estonian Investment Agency (EIA),Central-Government,Health,Public health services.,Implemented,2020,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,,,,,https://eebot.ee/,Communication,Natural language processing,Searching,,,chatbot,06/10/2023
PSTW-37,Helsinki HUH - Intensive care for premature baby,https://www.helsinki.fi/en/news/healthier-world/artificial-intelligence-evaluate-brain-maturity-preterm-infants,"AI system to follow the intensive care of premature baby and equipment. The AI is more accurate to notice some signals better than the doctors, based on IBM Watson.  The system works 24/7 without any breaks. This should ensure a better care system for the premature baby, living rate, suport for personal and improved trust in healthcare.",Local,Finland,FI1B,Helsinki University Hospital,Local Government,Health,Hospital services.,Implemented,2017,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,x,x,,,,,,,,1st Peer Learning Workshop AI Watch,Learning,Machine learning,Automated reasoning,,,,17/10/2023
PSTW-38,OuluBot - Virtual assistant for business, https://www.ouka.fi/oulu/oulubot/english,"The City of Oulu has started a project co-financed by Business Finland, which aims to build a chatbot service, OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues, whether they concern tourism, companies or city services. The answer or guidance to an electronic service should be provided regardless of time, place, medium and language. Technically, chatbot retrieves information e.g. relevant City of Oulu websites, chat history, guidance information, databases, and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer, then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service).",Local,Finland,FI,Municipality of Oulu,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,,,x,x,x,,,,,,,,,,,,,https://www.ouka.fi/oulu/oulubot/,Communication,Natural language processing,Searching,,,chatbot,17/10/2023
PSTW-39,AuroraAI - Programme with many AI examples,https://vm.fi/documents/10623/13292513/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf/7c96ee87-2b0e-dadd-07cd-0235352fc6f9/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf,"One of the experimental applications that has been run during the AuroraAI programme focused on the “moving to a place of study” life-event. Two cities involved (Tampere and Turku) carried out well-being surveys among its student populations, and - based on its results - clustered the students into the groups in need of different support. The study has discovered that factors such as reliability of the public transportation, and quality of the natural environment plays an important role in students’ well-being. Data retrieved from the study helped create a new cross-cutting public offering - a bot that would supply information about the topics that students found important. The uptake of the new service has been lackluster, leading the authorities to believe that only proactive marketing could change customers’ behaviour. Also it has been concluded that in order to pursue such projects further, municipalities need to develop user experience awareness and data analytics skills. ",National,Finland,FI,Munipality of Tampere and Turku,Local Government,Health,Health n.e.c.,Implemented,2021,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,x,x,,x,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/S0308596120300689,Learning,Machine learning,Automated reasoning,Automated reasoning,,,17/10/2023
PSTW-41,French Fraud - Fraud detection value declarations,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,National,France,FR,French Customs,Central-Government,Public order and safety,Police Services,Implemented,2018,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,x,,,,,French AI Strategy - https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,Learning,Machine learning,Automated reasoning,Knowledge representation,,,17/10/2023
PSTW-42,RenoiRH - Chatbot in HR management rules to facilitate access,https://www.youtube.com/watch?v=J0cFEJh8f70,"Interministerial Center for IT Services Relating to Human Resources (CISIRH) has developed a chatbot specialized in HR management rules to facilitate access to information. The public service includes a large number of standards, nomenclatures and written rules such as those relating to the mobility of agents and their career development.",National,France,FR,Interministerial Center for IT Services Relating to Human Resources,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2018,,Internal management,Internal support processes,No,No,Artificial Intelligence,G2C,x,,,x,x,x,,,,,,,,,,,,,https://www.youtube.com/watch?v=J0cFEJh8f70,Communication,Natural language processing,Knowledge representation,,,chatbot,17/10/2023
PSTW-43,SignauxFaibles - Predictive analysis of business difficulties,https://beta.gouv.fr/startups/signaux-faibles.html,"The detection of weak signals, which indicate a deterioration in the company's situation, makes it possible to identify more early the companies on which support actions can be offered to the company manager. The innovations relate to: (1) The development of a detection algorithm that uses relevant data and variables and effectively detects companies in difficulty (URSSAF, DIRECCTE, Banque de France data, etc.); (2) The development of a data loading computer system capable of regularly and automatically refreshing data from operational databases. The objective is to dynamically detect 2 to 5 new SMEs per month on the scale of Bourgogne Franche-Comté.
Expected impacts in terms of digital transformation: an even more effective decentralized State action to support weakened companies. Ultimately, it is a real “secure social network” centered on the company which will become the daily tool of public actors mobilized around companies in difficulty.",National,France,FR,"Ministry of the Economy, Finance and Recovery - General Directorate of Enterprises (DGE) / Ministry of Labor (DGEFP)",Central-Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2014,2019,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,G2B,x,,,x,x,,,,,,,,,,,,,,https://beta.gouv.fr/startups/signaux-faibles.html,Learning,Machine learning,Automated reasoning,Knowledge representation,,,17/10/2023
